current,filename,current_subfolder,score_5_plex,score_6_plex,verdict
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/Pro-forma Allendale 5 Unit  (1).xlsx,Pro-forma Allendale 5 Unit  (1).xlsx,Financials,1,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/Allendale 1 Budget (1).xlsx,Allendale 1 Budget (1).xlsx,Financials,1,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/10646 61 Ave Allendale Cashflow .xlsx,10646 61 Ave Allendale Cashflow .xlsx,Financials,0,2,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/10646 61 Ave Allendale Cashflow  (1).xlsx,10646 61 Ave Allendale Cashflow  (1).xlsx,Financials,0,2,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/ALLENDALE PRIVATE FINANCING 5 PLEX BUDGET.pdf,ALLENDALE PRIVATE FINANCING 5 PLEX BUDGET.pdf,Financials,1,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/Allendale 1 Budget.xlsx,Allendale 1 Budget.xlsx,Financials,1,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/6-Units Allendale Cost Breakdown.xlsx,6-Units Allendale Cost Breakdown.xlsx,Financials,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/Allendale_ Cost Breakdown.xlsx,Allendale_ Cost Breakdown.xlsx,Financials,0,0,(stay) no address evidence
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/Allendale 5 Unit Budget .xlsx,Allendale 5 Unit Budget .xlsx,Financials,1,0,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/Allendale_Cost To Date Summary.xlsx,Allendale_Cost To Date Summary.xlsx,Financials,3,2,Allendale 5-Plex (6408 106 St)
