from,to,verdict
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/Pro-forma Allendale 5 Unit  (1).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/Financials/Pro-forma Allendale 5 Unit  (1).xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/Allendale 1 Budget (1).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/Financials/Allendale 1 Budget (1).xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/10646 61 Ave Allendale Cashflow .xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/Financials/10646 61 Ave Allendale Cashflow .xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/10646 61 Ave Allendale Cashflow  (1).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/Financials/10646 61 Ave Allendale Cashflow  (1).xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/ALLENDALE PRIVATE FINANCING 5 PLEX BUDGET.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/Financials/ALLENDALE PRIVATE FINANCING 5 PLEX BUDGET.pdf,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/Allendale 1 Budget.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/Financials/Allendale 1 Budget.xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/Allendale 5 Unit Budget .xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/Financials/Allendale 5 Unit Budget .xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/Allendale_Cost To Date Summary.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/Financials/Allendale_Cost To Date Summary.xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Contracts/Ltr -Contract termination Allendale 5plex (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/Contracts/Ltr -Contract termination Allendale 5plex (1).pdf,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Plans & Permits/2441288-SurveyPlan Allendale 6408 Survey.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/Plans & Permits/2441288-SurveyPlan Allendale 6408 Survey.pdf,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_QS_cost_log_FINAL_with_BTY.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale_QS_cost_log_FINAL_with_BTY.xlsx,Allendale 5-Plex (6408 106 St)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Holding_Cost_Summary.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Holding_Cost_Summary.xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Sources_Uses_1.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 6-Plex (10646 61 Ave)/_NeedsReview/Allendale_Sources_Uses_1.xlsx,Allendale 6-Plex (10646 61 Ave)
/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale 6408 Cost Overview - CLEAN.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/Allendale 6408 Cost Overview - CLEAN.xlsx,Allendale 5-Plex (6408 106 St)
