group_id,group_type,is_keeper,file,size_bytes,mtime,project,subfolder,md5_or_size
1,exact_md5,YES,/Users/sunniyaremchuk/GST_Rebate_Agreement 9121 152 ST.pdf,2816,1768877193,9121 152,,fb123405e8
1,exact_md5,no,/Users/sunniyaremchuk/Schedule_F_GST_Rebate_Agreement_Simple (1).pdf,2816,1768677668,,,fb123405e8
1,exact_md5,no,/Users/sunniyaremchuk/Schedule_F_GST_Rebate_Agreement_Simple.pdf,2816,1768677526,,,fb123405e8
2,exact_md5,YES,/Users/sunniyaremchuk/Labrie Transit Oriented Development Investment Brief (2).pdf,677541,1773113128,,,6e52e5c518
2,exact_md5,no,/Users/sunniyaremchuk/Labrie Transit Oriented Development Investment Brief (1).pdf,677541,1771530906,,,6e52e5c518
2,exact_md5,no,/Users/sunniyaremchuk/Labrie Transit Oriented Development Investment Brief.pdf,677541,1770651117,,,6e52e5c518
3,exact_md5,YES,/Users/sunniyaremchuk/6408_wasted_costs_tracker (1).xlsx,8017,1768498538,,,3615aef444
3,exact_md5,no,/Users/sunniyaremchuk/6408_wasted_costs_tracker.xlsx,8017,1768498215,,,3615aef444
4,exact_md5,YES,/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule_B - Sepcifications (2) (1).pdf,545271,1768675403,10612 127 Street,Contracts,b24db482d8
4,exact_md5,no,/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule_B - Sepcifications (2).pdf,545271,1768674360,10612 127 Street,Contracts,b24db482d8
4,exact_md5,no,/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule_B - Sepcifications (1).pdf,545271,1768538308,10612 127 Street,Contracts,b24db482d8
4,exact_md5,no,/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule_B - Sepcifications.pdf,545271,1767728698,10612 127 Street,Contracts,b24db482d8
5,exact_md5,YES,/Users/sunniyaremchuk/brave_screenshot_mail.google.com.png,69493,1767737636,,Photos,57cf65e2dc
5,exact_md5,no,/Users/sunniyaremchuk/Documents/brave_screenshot_mail.google.com.png,69493,1766177024,,Photos,57cf65e2dc
6,exact_md5,YES,/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /10646 61 Inc. Investment Summary (1) (1).xlsx,4527054,1779110464,10646 61,Financials,8afa21036b
6,exact_md5,no,/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /10646 61 Inc. Investment Summary (1).xlsx,4527054,1776276894,10646 61,Financials,8afa21036b
6,exact_md5,no,/Users/sunniyaremchuk/10646 61 Inc. Investment Summary (1).xlsx,4527054,1773257744,10646 61,Financials,8afa21036b
7,exact_md5,YES,/Users/sunniyaremchuk/Schedule_C_Appliance_Schedule_Blank (1).pdf,2364,1768877202,,,666c566f82
7,exact_md5,no,/Users/sunniyaremchuk/Schedule_C_Appliance_Schedule_Blank.pdf,2364,1768676230,,,666c566f82
8,exact_md5,YES,/Users/sunniyaremchuk/10612 - 127 STREET NW- Schedule C (2) (1).pdf,785582,1768675425,10612 127 Street,Contracts,14b5266618
8,exact_md5,no,/Users/sunniyaremchuk/10612 - 127 STREET NW- Schedule C (2).pdf,785582,1768674392,10612 127 Street,Contracts,14b5266618
8,exact_md5,no,/Users/sunniyaremchuk/10612 - 127 STREET NW- Schedule C (1).pdf,785582,1768538392,10612 127 Street,Contracts,14b5266618
8,exact_md5,no,/Users/sunniyaremchuk/10612 - 127 STREET NW- Schedule C.pdf,785582,1767728727,10612 127 Street,Contracts,14b5266618
9,exact_md5,YES,/Users/sunniyaremchuk/First-Shareholder-Resolution.pdf,36204,1767902226,,Investor Docs,a136159359
9,exact_md5,no,/Users/sunniyaremchuk/Documents/First-Shareholder-Resolution.pdf,36204,1766470880,,Investor Docs,a136159359
10,exact_md5,YES,/Users/sunniyaremchuk/Purchase Contract (1).pdf,505387,1770170413,,Contracts,d912a456d7
10,exact_md5,no,/Users/sunniyaremchuk/Purchase Contract.pdf,505387,1768693655,,Contracts,d912a456d7
10,exact_md5,no,/Users/sunniyaremchuk/Documents/Purchase Contract.pdf,505387,1766005810,,Contracts,d912a456d7
11,exact_md5,YES,/Users/sunniyaremchuk/First-Director-Resolution.pdf,86932,1767902255,,,528dcd85bc
11,exact_md5,no,/Users/sunniyaremchuk/Documents/First-Director-Resolution.pdf,86932,1766470911,,,528dcd85bc
12,exact_md5,YES,/Users/sunniyaremchuk/10612 - 127 STREET NW- Landridge Homes-Sales Contract (3).pdf,1022641,1769273016,10612 127 Street,Contracts,442553eaa5
12,exact_md5,no,/Users/sunniyaremchuk/10612 - 127 STREET NW- Landridge Homes-Sales Contract (2).pdf,1022641,1768674378,10612 127 Street,Contracts,442553eaa5
12,exact_md5,no,/Users/sunniyaremchuk/10612 - 127 STREET NW- Landridge Homes-Sales Contract (1).pdf,1022641,1768538349,10612 127 Street,Contracts,442553eaa5
12,exact_md5,no,/Users/sunniyaremchuk/10612 - 127 STREET NW- Landridge Homes-Sales Contract.pdf,1022641,1767728714,10612 127 Street,Contracts,442553eaa5
13,exact_md5,YES,/Users/sunniyaremchuk/Allendale Investment_Summary (1).docx,17082,1773778537,Allendale,,f24326256e
13,exact_md5,no,/Users/sunniyaremchuk/Allendale Investment_Summary.docx,17082,1773778488,Allendale,,f24326256e
13,exact_md5,no,/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /Allendale Investment_Summary.docx,17082,1773510580,Allendale,,f24326256e
14,exact_md5,YES,/Users/sunniyaremchuk/Schedule_G_Completion_Addendum_Q1_2027_DepositRelease (2).pdf,5607,1768877275,,,2036b9adae
14,exact_md5,no,/Users/sunniyaremchuk/Schedule_G_Completion_Addendum_Q1_2027_DepositRelease (1).pdf,5607,1768877263,,,2036b9adae
14,exact_md5,no,/Users/sunniyaremchuk/Schedule_G_Completion_Addendum_Q1_2027_DepositRelease.pdf,5607,1768680490,,,2036b9adae
15,exact_md5,YES,/Users/sunniyaremchuk/75' Wide 3 Plex - 1298 SF - Second Floor (1).jpg,627022,1767765022,,Photos,faeefbc3c0
15,exact_md5,no,/Users/sunniyaremchuk/75' Wide 3 Plex - 1298 SF - Second Floor.jpg,627022,1767233906,,Photos,faeefbc3c0
16,exact_md5,YES,/Users/sunniyaremchuk/Downloads/Allendale         10646 61 Ave /10646 61 Ave Allendale - Front & Left (4).jpg,184112,1774228810,Allendale,Photos,2942db3b74
16,exact_md5,no,/Users/sunniyaremchuk/10646 61 Ave Allendale - Front & Left (3).jpg,184112,1773243344,Allendale,Photos,2942db3b74
16,exact_md5,no,/Users/sunniyaremchuk/10646 61 Ave Allendale - Front & Left (2).jpg,184112,1773193405,Allendale,Photos,2942db3b74
16,exact_md5,no,/Users/sunniyaremchuk/10646 61 Ave Allendale - Front & Left (1).jpg,184112,1773178584,Allendale,Photos,2942db3b74
16,exact_md5,no,/Users/sunniyaremchuk/10646 61 Ave Allendale - Front & Left.jpg,184112,1772596054,Allendale,Photos,2942db3b74
17,exact_md5,YES,/Users/sunniyaremchuk/property_assessment_enriched_MASTER_v1_1.csv,28061,1768248133,,,c30e3ac59c
17,exact_md5,no,/Users/sunniyaremchuk/property_assessment_enriched_MASTER.csv,28061,1768241100,,,c30e3ac59c
