group_id,is_keeper,file,viewUrl,size,modified,project,current_path
1,YES,Screenshot 2026-05-23 at 20.51.07.png,https://drive.google.com/file/d/17xuzg0fNWYdSU4l7n_htatg0Zg9b1h-w/view?usp=drivesdk,147256,2026-05-24T03:51:13Z,Allendale (generic),Allendale 10646 61 Ave 6 Unit /Allendale: 10646 61 Ave/Receipts 
1,no,Screenshot 2026-05-23 at 20.51.07.png,https://drive.google.com/file/d/1l27VndST44lSfIXkj59JE0hCT1PTKBCJ/view?usp=drivesdk,147256,2026-05-24T03:51:13Z,Allendale (generic),Allendale 6408 106/5-Unit Receipts 
2,YES,Invoice_67757_from_Enviromatics_Group_Ltd.pdf,https://drive.google.com/file/d/1GtnNKz1uTvjpDYWuud6Y9TupSNiGKljI/view?usp=drivesdk,95977,2026-05-24T01:46:08.573Z,Jasper Park,Jasper Park/Jasper Park-Invoice
2,no,Invoice_67757_from_Enviromatics_Group_Ltd.pdf,https://drive.google.com/file/d/1TDt-WCNi0ri-hSsK_qgnKAW0BsV3qx1r/view?usp=drivesdk,95977,2026-05-20T01:09:14.890Z,Jasper Park,Jasper Park/Jasper Park-Invoice
3,YES,Untitled document,https://docs.google.com/document/d/1slfV_k8gq909keF7JC9S5tMpykNZgdi4L_BRZ1kw7Qc/edit?usp=drivesdk&ouid=112966636072631084810,1024,2026-05-22T00:48:47.830Z,,
3,no,Untitled document,https://docs.google.com/document/d/11kovCSLxlTuaEJB50xTVJct-AEqzfk_x6sMVh6xRB_c/edit?usp=drivesdk&ouid=112966636072631084810,1024,2026-04-11T18:33:43.829Z,2811 34,"2811 34 Street Southwest
 2811 34 Street Southwest
 Killarney, Calgary,"
4,YES,sunrize_investments_real_estate_agreement,https://docs.google.com/document/d/1OZg1oSfYJ_gi7w7G-ZFF_xTd-ZiNMfjQNy_o9_xgLNU/edit?usp=drivesdk&ouid=112966636072631084810,1274,2026-05-15T22:30:55.480Z,,
4,no,sunrize_investments_real_estate_agreement,https://docs.google.com/document/d/10SktCBiS00Fee7lMnX7jE4OFpQmGVMaJR3O2OlZZ7TI/edit?usp=drivesdk&ouid=112966636072631084810,1274,2026-05-15T22:30:33.053Z,,
5,YES,Purchase_Contract_8207_121_AVE-1_(Signed) (1).pdf,https://drive.google.com/file/d/18NeFhsY4fKoNZzGFgsNOEGhHSIVND7rT/view?usp=drivesdk,661323,2026-05-11T19:14:43.238Z,,CORPORATION/2024 Tax Info/Sold Houses/Eastwood 6 Plex
5,no,Purchase_Contract_8207_121_AVE-1_(Signed) (1).pdf,https://drive.google.com/file/d/1IpEnpStZKyx2M4ZqSxD0_lIB-ZvK7UQn/view?usp=drivesdk,661323,2024-07-24T23:43:15Z,,CORPORATION/2024 Tax Info/Sold Houses/Eastwood 6 Plex
6,YES,Purchase-Contract--8207-121. Signed (1).pdf,https://drive.google.com/file/d/1A7K9zsdOxRx3oBm1dF03qIBIMZ0WzdYD/view?usp=drivesdk,771101,2026-05-11T19:12:53.249Z,8207 121,CORPORATION/2024 Tax Info/Sold Houses/Eastwood 6 Plex/8207 121 Ave 6 Plex
6,no,Purchase-Contract--8207-121. Signed (1).pdf,https://drive.google.com/file/d/1nSvh6fyYoUy338jRQg4A9_E3n_73AxO9/view?usp=drivesdk,771101,2024-04-14T22:36:41Z,,Blank Purchase Contracts /Purchase Contracts- Filled out 
6,no,Purchase-Contract--8207-121. Signed (1).pdf,https://drive.google.com/file/d/1M_AVU4KfpFHckmLyB9ShqxeC6Y5ENTIU/view?usp=drivesdk,771101,2024-04-14T22:36:41Z,,Blank Purchase Contracts /Purchase Contracts- Filled out 
7,YES,Att_ 05c6b654b6724142ab5ffb1ceea5c4b4.xps.pdf,https://drive.google.com/file/d/1VBnmH4Ae7W8HSGZKLRhHINpiDO_T-2Mt/view?usp=drivesdk,1194731,2026-04-20T16:45:05.428Z,Jasper Park,Jasper Park/Jasper Park-Corporate Files 
7,no,Att_ 05c6b654b6724142ab5ffb1ceea5c4b4.xps.pdf,https://drive.google.com/file/d/17L83pRX5mU1ke3apAabT1mM8zN4RUmgS/view?usp=drivesdk,1194731,2026-02-17T02:31:07.776Z,Jasper Park,Jasper Park/Purchasing Documents 
8,YES,0166867-00001_6564582_INV.PDF,https://drive.google.com/file/d/1PcY0_XAGbVm5mb8Y7W1DhNBUNCilMvd_/view?usp=drivesdk,162210,2026-03-23T21:44:57.465Z,,2025 Tax/2025 Tax Emanation 
8,no,0166867-00001_6564582_INV.PDF,https://drive.google.com/file/d/1o1XwoigeYGKzvBWqDuNu_AoKEGR3Pauv/view?usp=drivesdk,162210,2025-07-29T05:14:49.899Z,,Invoices /Invoices from gmail
8,no,0166867-00001_6564582_INV.PDF,https://drive.google.com/file/d/15elwi-LdAafd06QhYY5zXoML4urP1KH8/view?usp=drivesdk,162210,2025-06-16T17:47:53Z,,Invoices 
