id,title,status,current_path,proposed_target,viewUrl
1iFe40olLdkNErp45DaBpf8NvV5JrClvNj1rHKhj2WKg,AI_Assistant_Task_List,primary,,_NeedsReview/AI_Assistant_Task_List,https://docs.google.com/spreadsheets/d/1iFe40olLdkNErp45DaBpf8NvV5JrClvNj1rHKhj2WKg/edit?usp=drivesdk&ouid=112966636072631084810
1pL9KhVpTekPXfArxe-_JsK6D-Hx9V7_5TgyoRmxDWXo,Day1_Checklist_,primary,,_NeedsReview/Day1_Checklist_,https://docs.google.com/document/d/1pL9KhVpTekPXfArxe-_JsK6D-Hx9V7_5TgyoRmxDWXo/edit?usp=drivesdk&ouid=112966636072631084810
1xz_LiHaaI3Of9y6JFfWbzW8N3-WEpMBw,Invoice 2309 - 1 18x24 Coroplast  Sign 40 with 4 grommets - Apr 02 2026.PDF,primary,Allendale 10646 61 Ave 6 Unit /Receipts ,Allendale (generic)/Financials/Invoice 2309 - 1 18x24 Coroplast  Sign 40 with 4 grommets - Apr 02 2026.PDF,https://drive.google.com/file/d/1xz_LiHaaI3Of9y6JFfWbzW8N3-WEpMBw/view?usp=drivesdk
1h2rm_8tpLA_ti2NIdDZ8pnFxR4Ofa0DT,Payment_P10465.pdf,primary,Allendale 10646 61 Ave 6 Unit /Receipts ,Allendale (generic)/_NeedsReview/Payment_P10465.pdf,https://drive.google.com/file/d/1h2rm_8tpLA_ti2NIdDZ8pnFxR4Ofa0DT/view?usp=drivesdk
1KK8PJEvJYU44Pto77AU59_BhW6dWE0JB,Payment_P10553.pdf,primary,Allendale 10646 61 Ave 6 Unit /Receipts ,Allendale (generic)/_NeedsReview/Payment_P10553.pdf,https://drive.google.com/file/d/1KK8PJEvJYU44Pto77AU59_BhW6dWE0JB/view?usp=drivesdk
1jxBwe2-ZmZp0SRHa6YlOGHBTDDGE9sX6qdBg5igvtpc,05_Capital_Partners_LPs,primary,,_NeedsReview/05_Capital_Partners_LPs,https://docs.google.com/spreadsheets/d/1jxBwe2-ZmZp0SRHa6YlOGHBTDDGE9sX6qdBg5igvtpc/edit?usp=drivesdk&ouid=112966636072631084810
1mq_lD9Ce5iHfmkbmA_74cuviokP49MLjmbAedT0aBlw,11_MF_Buyers_All,primary,,_NeedsReview/11_MF_Buyers_All,https://docs.google.com/spreadsheets/d/1mq_lD9Ce5iHfmkbmA_74cuviokP49MLjmbAedT0aBlw/edit?usp=drivesdk&ouid=112966636072631084810
1nL0pxLyrmDv-c2GWfpKF6--Kv2Db1S1Nlh-uqQLhbRQ,10_PM_Owners,primary,,_NeedsReview/10_PM_Owners,https://docs.google.com/spreadsheets/d/1nL0pxLyrmDv-c2GWfpKF6--Kv2Db1S1Nlh-uqQLhbRQ/edit?usp=drivesdk&ouid=112966636072631084810
1vUmKGQVEYmQKVLxvIbAdMSiDStlh82IQIO6HOVRrHcY,Master_Contacts_JUNK,primary,,_NeedsReview/Master_Contacts_JUNK,https://docs.google.com/spreadsheets/d/1vUmKGQVEYmQKVLxvIbAdMSiDStlh82IQIO6HOVRrHcY/edit?usp=drivesdk&ouid=112966636072631084810
1a9ZBqRaC60ziFZpwd8mQ5HEEJQGgENpcTAev2FymPjE,Master_Contacts_CLEAN,primary,,_NeedsReview/Master_Contacts_CLEAN,https://docs.google.com/spreadsheets/d/1a9ZBqRaC60ziFZpwd8mQ5HEEJQGgENpcTAev2FymPjE/edit?usp=drivesdk&ouid=112966636072631084810
