current_path,status,project,subfolder,proposed_target,size_bytes,mtime
/Users/sunniyaremchuk/Finders Fee.docx,unique,,Financials,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Financials/Finders Fee.docx,21458,1768843121
/Users/sunniyaremchuk/GST_Rebate_Agreement 9121 152 ST.pdf,primary,9121 152,,/Users/sunniyaremchuk/RealEstate_Organized/9121 152/_NeedsReview/GST_Rebate_Agreement 9121 152 ST.pdf,2816,1768877193
/Users/sunniyaremchuk/Purchase Contract (Jasper Park Purchase).pdf,unique,Jasper Park,Contracts,/Users/sunniyaremchuk/RealEstate_Organized/Jasper Park/Contracts/Purchase Contract (Jasper Park Purchase).pdf,608510,1773940684
/Users/sunniyaremchuk/edmonton_properties_enriched_batch8_redone.xlsx,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/edmonton_properties_enriched_batch8_redone.xlsx,7653,1767836094
/Users/sunniyaremchuk/Marketing Brief_ The Foundation Immersion 2026.docx,unique,,Marketing & OM,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Marketing & OM/Marketing Brief_ The Foundation Immersion 2026.docx,11626,1771445685
/Users/sunniyaremchuk/Personal Net Worth Statement_HSFC_2025.pdf,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Personal Net Worth Statement_HSFC_2025.pdf,384389,1767904745
/Users/sunniyaremchuk/B&H_Partnership_Agreement.pdf,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/B&H_Partnership_Agreement.pdf,2185,1770851285
/Users/sunniyaremchuk/Allendale_QS_cost_log_FINAL_with_BTY.xlsx,unique,Allendale,,/Users/sunniyaremchuk/RealEstate_Organized/Allendale/_NeedsReview/Allendale_QS_cost_log_FINAL_with_BTY.xlsx,15008,1764831553
/Users/sunniyaremchuk/2026 Derelict list .numbers,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/2026 Derelict list .numbers,317729,1768528936
/Users/sunniyaremchuk/Builder Agreement Jasper Park .pdf,unique,Jasper Park,Contracts,/Users/sunniyaremchuk/RealEstate_Organized/Jasper Park/Contracts/Builder Agreement Jasper Park .pdf,204244,1773432927
/Users/sunniyaremchuk/Labrie Transit Oriented Development Investment Brief (1).pdf,duplicate,,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Unknown/Labrie Transit Oriented Development Investment Brief (1).pdf,677541,1771530906
/Users/sunniyaremchuk/6408_wasted_costs_tracker (1).xlsx,primary,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/6408_wasted_costs_tracker (1).xlsx,8017,1768498538
/Users/sunniyaremchuk/metro_vancouver_commercial_agents_350PLUS.csv,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/metro_vancouver_commercial_agents_350PLUS.csv,56055,1767828149
/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule_B - Sepcifications (2) (1).pdf,primary,10612 127 Street,Contracts,/Users/sunniyaremchuk/RealEstate_Organized/10612 127 Street/Contracts/10612 - 127 STREET NW - Schedule_B - Sepcifications (2) (1).pdf,545271,1768675403
/Users/sunniyaremchuk/NDA- Emanation Investments.pdf,unique,,Contracts,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Contracts/NDA- Emanation Investments.pdf,455077,1770909997
/Users/sunniyaremchuk/edmonton_properties_enriched_batch5_verified.csv,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/edmonton_properties_enriched_batch5_verified.csv,2879,1767830583
/Users/sunniyaremchuk/diversity-inclusion-framework-en (1).pdf,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/diversity-inclusion-framework-en (1).pdf,3217832,1766541758
/Users/sunniyaremchuk/Lender Comparison.xlsx,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Lender Comparison.xlsx,35532,1769725472
/Users/sunniyaremchuk/Distressed_Property_Outreach.xlsx,unique,Distressed Property Outreach,,/Users/sunniyaremchuk/RealEstate_Organized/Distressed Property Outreach/_NeedsReview/Distressed_Property_Outreach.xlsx,5250,1768759653
/Users/sunniyaremchuk/24-48-Allendale 5-Plex- Arch IFBP 2025.06.11.pdf,unique,Allendale 5-Plex,,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex/_NeedsReview/24-48-Allendale 5-Plex- Arch IFBP 2025.06.11.pdf,15615221,1766948871
/Users/sunniyaremchuk/Back Driving license.jpg,unique,,Photos,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Photos/Back Driving license.jpg,849878,1768679297
/Users/sunniyaremchuk/brave_screenshot_mail.google.com.png,primary,,Photos,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Photos/brave_screenshot_mail.google.com.png,69493,1767737636
"/Users/sunniyaremchuk/Currumbin Alley, Gold Coast QLD_ Celebrate the joy….jpeg",unique,,Photos,"/Users/sunniyaremchuk/RealEstate_Organized/_Library/Photos/Currumbin Alley, Gold Coast QLD_ Celebrate the joy….jpeg",134278,1764304816
/Users/sunniyaremchuk/Purchase Contract- 10407 45 St.pdf,unique,10407 45,Contracts,/Users/sunniyaremchuk/RealEstate_Organized/10407 45/Contracts/Purchase Contract- 10407 45 St.pdf,434958,1768694965
/Users/sunniyaremchuk/Yeg_flip- Uploaded  - Sheet1.csv,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Yeg_flip- Uploaded  - Sheet1.csv,8753,1769654803
/Users/sunniyaremchuk/6408 106 Street Budget 5-Plex.xlsx,unique,6408 106,Financials,/Users/sunniyaremchuk/RealEstate_Organized/6408 106/Financials/6408 106 Street Budget 5-Plex.xlsx,5872,1767837229
/Users/sunniyaremchuk/10646 61 Inc. Investment Summary (1).xlsx,duplicate,10646 61,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10646 61/10646 61 Inc. Investment Summary (1).xlsx,4527054,1773257744
/Users/sunniyaremchuk/Schedule_C_Appliance_Schedule_Blank (1).pdf,primary,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Schedule_C_Appliance_Schedule_Blank (1).pdf,2364,1768877202
/Users/sunniyaremchuk/10612 - 127 STREET NW- Schedule C (1).pdf,duplicate,10612 127 Street,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street/10612 - 127 STREET NW- Schedule C (1).pdf,785582,1768538392
/Users/sunniyaremchuk/First-Shareholder-Resolution.pdf,primary,,Investor Docs,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Investor Docs/First-Shareholder-Resolution.pdf,36204,1767902226
/Users/sunniyaremchuk/Allendale_Merged_Equity_SoftCosts.xlsx,unique,Allendale,,/Users/sunniyaremchuk/RealEstate_Organized/Allendale/_NeedsReview/Allendale_Merged_Equity_SoftCosts.xlsx,5883,1773071321
/Users/sunniyaremchuk/BTY Proposal - 9121 152 Street - 8-Unit Multi-Plex - 2026.02.18.pdf,unique,9121 152,,/Users/sunniyaremchuk/RealEstate_Organized/9121 152/_NeedsReview/BTY Proposal - 9121 152 Street - 8-Unit Multi-Plex - 2026.02.18.pdf,1000347,1773065310
/Users/sunniyaremchuk/Purchase Contract.pdf,duplicate,,(_Duplicates),/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Unknown/Purchase Contract.pdf,505387,1768693655
/Users/sunniyaremchuk/HS Engagement Letter - 6408 106 St. - Final - LI .pdf,unique,6408 106,,/Users/sunniyaremchuk/RealEstate_Organized/6408 106/_NeedsReview/HS Engagement Letter - 6408 106 St. - Final - LI .pdf,340592,1768239041
/Users/sunniyaremchuk/6408_106_St_Hard_Costs (1).xlsx,unique,6408 106,,/Users/sunniyaremchuk/RealEstate_Organized/6408 106/_NeedsReview/6408_106_St_Hard_Costs (1).xlsx,10415,1767818537
/Users/sunniyaremchuk/5U1A9137.jpg,unique,,Photos,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Photos/5U1A9137.jpg,4065231,1767830235
/Users/sunniyaremchuk/Schedule_D_Project_Utility_Metering.pdf,unique,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/Schedule_D_Project_Utility_Metering.pdf,2263,1768675904
/Users/sunniyaremchuk/First-Director-Resolution.pdf,primary,,,/Users/sunniyaremchuk/RealEstate_Organized/_NeedsReview/First-Director-Resolution.pdf,86932,1767902255
/Users/sunniyaremchuk/5U1A9080.jpg,unique,,Photos,/Users/sunniyaremchuk/RealEstate_Organized/_Library/Photos/5U1A9080.jpg,3311089,1767830315
