from,to,project,subfolder,status,size
/Users/sunniyaremchuk/GST_Rebate_Agreement 9121 152 ST.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Verum (9121 152 St)/_NeedsReview/GST_Rebate_Agreement 9121 152 ST.pdf,Verum (9121 152 St),_NeedsReview,primary,2816
/Users/sunniyaremchuk/Purchase Contract (Jasper Park Purchase).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Jasper Park/Contracts/Purchase Contract (Jasper Park Purchase).pdf,Jasper Park,Contracts,primary,608510
/Users/sunniyaremchuk/Allendale_QS_cost_log_FINAL_with_BTY.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_QS_cost_log_FINAL_with_BTY.xlsx,Allendale (generic),_NeedsReview,primary,15008
/Users/sunniyaremchuk/Builder Agreement Jasper Park .pdf,/Users/sunniyaremchuk/RealEstate_Organized/Jasper Park/Contracts/Builder Agreement Jasper Park .pdf,Jasper Park,Contracts,primary,204244
/Users/sunniyaremchuk/10612 - 127 STREET NW - Schedule_B - Sepcifications (2) (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/10612 127 Street NW/Contracts/10612 - 127 STREET NW - Schedule_B - Sepcifications (2) (1).pdf,10612 127 Street NW,Contracts,primary,545271
/Users/sunniyaremchuk/Distressed_Property_Outreach.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Distressed Property Outreach/_NeedsReview/Distressed_Property_Outreach.xlsx,Distressed Property Outreach,_NeedsReview,primary,5250
/Users/sunniyaremchuk/24-48-Allendale 5-Plex- Arch IFBP 2025.06.11.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/24-48-Allendale 5-Plex- Arch IFBP 2025.06.11.pdf,Allendale 5-Plex (6408 106 St),_NeedsReview,primary,15615221
/Users/sunniyaremchuk/Purchase Contract- 10407 45 St.pdf,/Users/sunniyaremchuk/RealEstate_Organized/10407 45 Ave NW/Contracts/Purchase Contract- 10407 45 St.pdf,10407 45 Ave NW,Contracts,primary,434958
/Users/sunniyaremchuk/6408 106 Street Budget 5-Plex.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/Financials/6408 106 Street Budget 5-Plex.xlsx,Allendale 5-Plex (6408 106 St),Financials,primary,5872
/Users/sunniyaremchuk/10646 61 Inc. Investment Summary (1).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale 6-Plex (10646 61 Ave)/10646 61 Inc. Investment Summary (1).xlsx,Allendale 6-Plex (10646 61 Ave),Financials,duplicate,4527054
/Users/sunniyaremchuk/10612 - 127 STREET NW- Schedule C (1).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/10612 - 127 STREET NW- Schedule C (1).pdf,10612 127 Street NW,Contracts,duplicate,785582
/Users/sunniyaremchuk/Allendale_Merged_Equity_SoftCosts.xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Merged_Equity_SoftCosts.xlsx,Allendale (generic),_NeedsReview,primary,5883
/Users/sunniyaremchuk/BTY Proposal - 9121 152 Street - 8-Unit Multi-Plex - 2026.02.18.pdf,/Users/sunniyaremchuk/RealEstate_Organized/Verum (9121 152 St)/_NeedsReview/BTY Proposal - 9121 152 Street - 8-Unit Multi-Plex - 2026.02.18.pdf,Verum (9121 152 St),_NeedsReview,primary,1000347
/Users/sunniyaremchuk/HS Engagement Letter - 6408 106 St. - Final - LI .pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/HS Engagement Letter - 6408 106 St. - Final - LI .pdf,Allendale 5-Plex (6408 106 St),_NeedsReview,primary,340592
/Users/sunniyaremchuk/6408_106_St_Hard_Costs (1).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale 5-Plex (6408 106 St)/_NeedsReview/6408_106_St_Hard_Costs (1).xlsx,Allendale 5-Plex (6408 106 St),_NeedsReview,primary,10415
/Users/sunniyaremchuk/10612 - 127 STREET NW- Landridge Homes-Sales Contract (2).pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/10612 - 127 STREET NW- Landridge Homes-Sales Contract (2).pdf,10612 127 Street NW,Contracts,duplicate,1022641
/Users/sunniyaremchuk/Allendale Investment_Summary.docx,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/Allendale Investment_Summary.docx,Allendale (generic),_NeedsReview,duplicate,17082
/Users/sunniyaremchuk/10612 - 127 STREET NW- Landridge Homes-Sales Contract (3).pdf,/Users/sunniyaremchuk/RealEstate_Organized/10612 127 Street NW/Contracts/10612 - 127 STREET NW- Landridge Homes-Sales Contract (3).pdf,10612 127 Street NW,Contracts,primary,1022641
/Users/sunniyaremchuk/106 Street Property - Peakhill & CMHC.pdf,/Users/sunniyaremchuk/RealEstate_Organized/106 Street Property/Financials/106 Street Property - Peakhill & CMHC.pdf,106 Street Property,Financials,primary,443432
/Users/sunniyaremchuk/10612 - 127 STREET NW- Schedule C.pdf,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/10612 127 Street NW/10612 - 127 STREET NW- Schedule C.pdf,10612 127 Street NW,Contracts,duplicate,785582
/Users/sunniyaremchuk/10646 61 Ave Allendale - Front & Left (1).jpg,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/10646 61 Ave Allendale - Front & Left (1).jpg,Allendale (generic),Photos,duplicate,184112
/Users/sunniyaremchuk/10646 61 Ave Allendale - Front & Left.jpg,/Users/sunniyaremchuk/RealEstate_Organized/_Duplicates/Allendale (generic)/10646 61 Ave Allendale - Front & Left.jpg,Allendale (generic),Photos,duplicate,184112
/Users/sunniyaremchuk/2025-01-09 ALLENDALE 6_PLEX - DESIGN PCKG (003).pdf,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/2025-01-09 ALLENDALE 6_PLEX - DESIGN PCKG (003).pdf,Allendale (generic),_NeedsReview,primary,11736259
/Users/sunniyaremchuk/Pro-forma Allendale 5 Unit  (1).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/Financials/Pro-forma Allendale 5 Unit  (1).xlsx,Allendale (generic),Financials,primary,8888
/Users/sunniyaremchuk/Allendale_Equity_SoftCosts_Styled (1).xlsx,/Users/sunniyaremchuk/RealEstate_Organized/Allendale (generic)/_NeedsReview/Allendale_Equity_SoftCosts_Styled (1).xlsx,Allendale (generic),_NeedsReview,primary,6108
