record_type,name,email,phones,company,roles,asset_classes,strategies,markets,notes,sources
email_contact,Abbey Lane,info@abbeylanehomes.com,(780) 414-1322; (780) 425-2884; (780) 439-9000; (825) 925-3232,abbeylanehomes,Builder,,,Calgary; Edmonton,"4251020"",,""2025-09-24T10:17:28-06:00"",""Oct 08 2025 01:30 PM"",""infill_developer, developer_builders"" ""cSOikSnmQRrbBXTr627W"",""Abbey"",""Lane homes"",""+17804252884"",""info@abbeylanehomes.com"",""2025-09-24T10:",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Aji Jacob,ajijac2002@yahoo.com,(587) 328-9115; (780) 200-3030; (780) 200-9690; (780) 253-0006; (780) 318-3699; (780) 707-8701; (780) 777-2608; (780) 884-9782; (780) 906-7454,,Builder; Developer; Investor,Infill; Multifamily; Single-family,Flip; Rental,Calgary; Edmonton,"com"",""2025-10-03T15:21:45-06:00"",""Jan 12 2026 01:38 PM"",""infill_buyers, multifamily_buyer, infill_vip_yeg"" ""fzR9wLtjjaYKrNsxb5Ph"",""Aji"",""Jacob"",""+17802003030"",""ajijac2002@yahoo.com"",""2025-10-03T15:21:",4 plex s - Uploaded  - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Admin_ Investors.xlsx | [Drive] Buyers_1742680165---uploaded .xlsx | [Drive] hubspot-crm-exports-all-contacts-2024-06-10.csv | [Drive] hubspot-crm-exports-all-contacts-2024-08-16.csv
email_contact,Andrew Harbinson,riverahomes@outlook.com,(587) 805-5277; (780) 893-3087; (780) 937-5392,,Builder,,,Calgary; Edmonton,"omes.com"",""2025-09-24T10:40:05-06:00"",""Jan 05 2026 05:42 PM"",""infill_developer, developer_builders"" ""RlTCm3HrEnNIPgEoAzZK"",""Rivera"",""Homes ltd"",""+17809375392"",""riverahomes@outlook.com"",""2025-09-24T10:",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Apex Developments,bronwyn.scrivens@jll.com,(587) 803-0444; (780) 705-8785; (780) 807-4564; (780) 909-6431; (780) 966-0162,jll,Builder; Developer; Realtor,Industrial,,Calgary; Edmonton,"23 2025 05:00 PM"",""infill_developer, developer_builders, land_seller_alberta"" ""tt0gu9uPUQKi7Li4ysxa"",""Industrial"",""Edmonton | bronwyn scrivens"",""+17808074564"",""bronwyn.scrivens@jll.com"",""2025-09-24T10",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_1742680165---uploaded .xlsx | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Atnish Raju,info@everestgroup.ca,(587) 917-2097; (780) 485-5904,everestgroup,Builder,Mixed-use,,Calgary; Edmonton,"7809660287"",,""2025-09-24T10:43:34-06:00"",""Jan 05 2026 02:42 PM"",""infill_developer, developer_builders"" ""Get4YBwpsVFYxCB6oQoU"",""Everest"",""Group"",""+17804855904"",""info@everestgroup.ca"",""2025-09-24T10:43:",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Battistella Developments,info@battistella.ca,(403) 264-2992; (403) 700-2411,battistella,Builder,Infill,,Calgary,"@urbanindigohomes.com"",""2025-12-16T14:48:38-07:00"",""Dec 26 2025 12:32 PM"",""yyc_infill, calgary_multifamily, yyc_data1"" ""7B7TrnqdxJ5JmQHVZfcA"",,,""+14032642992"",""info@battistella.ca"",""2025-12-16T14:48:3",Calgary_Builders_and_Developers.csv | Calgary_Leads_Combined.csv | Calgary_Leads_For_GoHighLevel.csv | Calgary_Leads_For_GoHighLevel_PLUS247.csv | Calgary_Leads_For_GoHighLevel_PLUS247.xlsx | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | library_contacts_Upload YYYC Infill .csv | library_contacts_YYYC_Infill_cleaned_E164.csv
email_contact,Bright Custom,info@brightcustomhomes.ca,(403) 239-8688; (403) 877-7731; (587) 912-0255,brightcustomhomes,Builder,Infill,,Calgary; Edmonton,"erandaestatehomes.com"",""2025-12-16T14:48:42-07:00"",""Dec 16 2025 02:55 PM"",""yyc_infill, calgary_multifamily, yyc_data1"" ""RHLogdQCm5npT26LUkxE"",,,""+15879120255"",""info@brightcustomhomes.ca"",""2025-12-16T1",Calgary_Builders_and_Developers.csv | Calgary_Leads_Combined.csv | Calgary_Leads_For_GoHighLevel.csv | Calgary_Leads_For_GoHighLevel_PLUS247.csv | Calgary_Leads_For_GoHighLevel_PLUS247.xlsx | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | library_contacts_Upload YYYC Infill .csv | library_contacts_YYYC_Infill_cleaned_E164.csv
email_contact,Builder Developer,info@tonyosa.com,(431) 334-9990; (587) 328-9115; (780) 200-3030; (780) 200-9690; (780) 253-0006; (780) 318-3699; (780) 695-0245; (780) 777-2608; (780) 777-7471,tonyosa,Builder; Developer; Investor,Infill; Multifamily,,Calgary; Edmonton; USA,"""Jacob"",""+17802003030"",""ajijac2002@yahoo.com"",""2025-10-03T15:21:44-06:00"",""Dec 11 2025 10:00 AM"",""infill_buyers"" ""dDP5540jLQQIdQGALjbl"",""Tony"",,""+17802009690"",""info@tonyosa.com"",""2025-10-03T15:21:44-0",4 plex s - Uploaded  - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Admin_ Investors.xlsx | [Drive] Buyers_1742680165---uploaded .xlsx | [Drive] hubspot-crm-exports-all-contacts-2024-06-10.csv | [Drive] hubspot-crm-exports-all-contacts-2024-08-16.csv
email_contact,Builders Inc,mreid@rms-group.ca,(780) 716-1966; (587) 805-1027; (780) 222-5659; (780) 414-0330; (780) 454-6500,rms-group,Builder,,,Calgary; Edmonton,"00"",""Jan 05 2026 02:42 PM"",""infill_developer, developer_builders"" ""1VCjXoqDnr2J3dnxBRS7"",""Rms"",""Developments inc. (the rms group of companies)"",""+17804140330"",""mreid@rms-group.ca"",""2025-09-24T10:33:36",Builders_Developers INFO (email_numbers) .xlsx - Sheet1.csv | Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
email_contact,Built Homes,steven@threewestdevelopment.com,(587) 926-2327; (780) 280-0400,threewestdevelopment,Builder; Developer,,,Calgary; Edmonton,"2025-09-24T10:35:17-06:00"",""Jan 05 2026 02:42 PM"",""infill_developer, developer_builders"" ""4ZLsMRlqWprGcOQGkxuk"",""Three"",""West development inc."",""+15879262327"",""steven@threewestdevelopment.com"",""2025-0",Export_Contacts_undefined_May_2026_10_54_PM.csv | Go High Level All Contacts.csv | [Drive] Buyers_Developer_Builders_xlsx_1757717916.xlsx
